route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
10610,BGPREVOZ,610e,Novi Beograd /Blok 70A/ - Jakovo,3,,0098da,ffffff,0,,
11610,BGPREVOZ,610ea,Novi Beograd /Blok 70A/ - Petlja Jakovo - Jakovo,3,,0098da,ffffff,0,,
00611,BGPREVOZ,611,Zemun /Kej Oslobođenja/ - Dobanovci,3,,0098da,ffffff,0,,
90005,BGPREVOZ,A1,Trg Slavija - Aerodrom Nikola Tesla,3,,00A859,FFFFFF,0,,
00101,BGPREVOZ,101,Omladinski stadion - Padinska skela,3,,0098DA,FFFFFF,0,,
00306,BGPREVOZ,306,Ustanička - Leštane,3,,0098DA,FFFFFF,0,,
01306,BGPREVOZ,306a,Ustanička - Leštane - Bubanj potok,3,,0098da,ffffff,0,,
02306,BGPREVOZ,306b,Ustanička - Vinča - Leštane,3,,0098da,ffffff,0,,
03306,BGPREVOZ,306v,Ustanička - Vinča - Leštane,3,,0098da,ffffff,0,,
00034,BGPREVOZ,34,Topčidersko brdo (Senjak) - Pere Velimirovića,3,,0098DA,FFFFFF,0,,
00049,BGPREVOZ,49,Banovo brdo - Naselje /Stepa Stepanović/,3,,0098DA,FFFFFF,0,,
00094,BGPREVOZ,94,Novi Beograd /Blok 45/ - Resnik /Edvarda Griga/,3,,0098DA,FFFFFF,0,,
51511,BGPREVOZ,511Na,Studentski trg - Sremčica,3,,3E4095,FFFFFF,0,,
50493,BGPREVOZ,493N,BAS - Trg Slavija - Mladenovac - Sopot,3,,0042aa,ffffff,0,,
50860,BGPREVOZ,860N,Trg Slavija - Obrenovac,3,,0042aa,ffffff,0,,
50072,BGPREVOZ,72N,Trg republike - Aerodrom  Nikola Tesla ,3,,0042aa,ffffff,0,,
50018,BGPREVOZ,18N,Medaković 3 - Zemun (Bačka),3,,0042aa,ffffff,0,,
50095,BGPREVOZ,95N,Novi Beograd (Blok 45) - Trg republike - Borča 3,3,,0042aa,ffffff,0,,
50581,BGPREVOZ,581N,Trg Slavija - Lazarevac,3,,0042aa,ffffff,0,,
50105,BGPREVOZ,105N,Studentski trg - Kotež - Ovča,3,,0042aa,ffffff,0,,
50707,BGPREVOZ,707N,Studentski trg - Altina - Zemun polje,3,,0042aa,ffffff,0,,
50302,BGPREVOZ,302N,Studentski trg - Vrčin - Zaklopača - Grocka - Begaljica,3,,0042aa,ffffff,0,,
00012,BGPREVOZ,12,Omladinski stadion - Banovo brdo,0,,ED3237,FFFFFF,0,,
50307,BGPREVOZ,307N,Studentski trg - Kaluđerica -Vinča,3,,0042aa,ffffff,0,,
51307,BGPREVOZ,307Na,Studentski trg - Kaluđerica - Vinča,3,,0042aa,ffffff,0,,
00027,BGPREVOZ,27,Trg Republike - Mirijevo 3,3,,0098DA,FFFFFF,0,,
00029,BGPREVOZ,29,Studentski Trg - Medaković 3,11,,F58634,FFFFFF,0,,
50511,BGPREVOZ,511N,Studentski trg - Sremčica,3,,3E4095,FFFFFF,0,,
00017,BGPREVOZ,17,Konjarnik - Zemun /Gornji grad/,3,,0098DA,FFFFFF,0,,
00077,BGPREVOZ,77,Zvezdara - Bežanijska Kosa /Bolnica/,3,,0098DA,FFFFFF,0,,
00016,BGPREVOZ,16,Karaburma 2 - Novi Beograd /Paviljoni/,3,,0098DA,FFFFFF,0,,
00035,BGPREVOZ,35,Novi Beograd /Blok 20/ - Lešće /Groblje/,3,,0098DA,FFFFFF,0,,

